time, name, value, enum, units
"2019-03-26 16:43:45.788","EngineRPM","250","","RPM"
"2019-03-26 16:43:45.788","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:45.788","HighPressure","625.000000","","psi"
"2019-03-26 16:43:45.788","LowPressure","31.000000","","psi"
"2019-03-26 16:43:45.790","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:45.790","TotalBarrels","6","","bbl"
"2019-03-26 16:43:47.888","EngineRPM","250","","RPM"
"2019-03-26 16:43:47.888","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:47.888","HighPressure","625.000000","","psi"
"2019-03-26 16:43:47.888","LowPressure","31.000000","","psi"
"2019-03-26 16:43:47.889","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:47.889","TotalBarrels","7","","bbl"
"2019-03-26 16:43:49.888","EngineRPM","250","","RPM"
"2019-03-26 16:43:49.888","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:49.888","HighPressure","625.000000","","psi"
"2019-03-26 16:43:49.888","LowPressure","31.000000","","psi"
"2019-03-26 16:43:49.889","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:49.889","TotalBarrels","7","","bbl"
"2019-03-26 16:43:51.988","EngineRPM","250","","RPM"
"2019-03-26 16:43:51.988","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:51.988","HighPressure","625.000000","","psi"
"2019-03-26 16:43:51.988","LowPressure","31.000000","","psi"
"2019-03-26 16:43:51.989","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:51.989","TotalBarrels","7","","bbl"
"2019-03-26 16:43:54.088","EngineRPM","250","","RPM"
"2019-03-26 16:43:54.088","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:54.088","HighPressure","625.000000","","psi"
"2019-03-26 16:43:54.088","LowPressure","31.000000","","psi"
"2019-03-26 16:43:54.089","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:54.089","TotalBarrels","7","","bbl"
"2019-03-26 16:43:56.188","EngineRPM","250","","RPM"
"2019-03-26 16:43:56.188","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:56.188","HighPressure","625.000000","","psi"
"2019-03-26 16:43:56.188","LowPressure","31.000000","","psi"
"2019-03-26 16:43:56.189","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:56.189","TotalBarrels","7","","bbl"
"2019-03-26 16:43:58.288","EngineRPM","250","","RPM"
"2019-03-26 16:43:58.288","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:43:58.288","HighPressure","625.000000","","psi"
"2019-03-26 16:43:58.288","LowPressure","31.000000","","psi"
"2019-03-26 16:43:58.289","FlowRate","2.500000","","BPM"
"2019-03-26 16:43:58.289","TotalBarrels","7","","bbl"
"2019-03-26 16:44:00.388","EngineRPM","250","","RPM"
"2019-03-26 16:44:00.388","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:00.388","HighPressure","625.000000","","psi"
"2019-03-26 16:44:00.388","LowPressure","31.000000","","psi"
"2019-03-26 16:44:00.389","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:00.389","TotalBarrels","7","","bbl"
"2019-03-26 16:44:02.488","EngineRPM","250","","RPM"
"2019-03-26 16:44:02.488","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:02.488","HighPressure","625.000000","","psi"
"2019-03-26 16:44:02.488","LowPressure","31.000000","","psi"
"2019-03-26 16:44:02.489","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:02.489","TotalBarrels","7","","bbl"
"2019-03-26 16:44:04.588","EngineRPM","250","","RPM"
"2019-03-26 16:44:04.588","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:04.588","HighPressure","625.000000","","psi"
"2019-03-26 16:44:04.588","LowPressure","31.000000","","psi"
"2019-03-26 16:44:04.589","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:04.589","TotalBarrels","7","","bbl"
"2019-03-26 16:44:06.688","EngineRPM","250","","RPM"
"2019-03-26 16:44:06.688","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:06.688","HighPressure","625.000000","","psi"
"2019-03-26 16:44:06.688","LowPressure","31.000000","","psi"
"2019-03-26 16:44:06.689","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:06.689","TotalBarrels","7","","bbl"
"2019-03-26 16:44:08.788","EngineRPM","250","","RPM"
"2019-03-26 16:44:08.788","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:08.788","HighPressure","625.000000","","psi"
"2019-03-26 16:44:08.788","LowPressure","31.000000","","psi"
"2019-03-26 16:44:08.789","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:08.789","TotalBarrels","7","","bbl"
"2019-03-26 16:44:10.788","EngineRPM","250","","RPM"
"2019-03-26 16:44:10.788","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:10.788","HighPressure","625.000000","","psi"
"2019-03-26 16:44:10.788","LowPressure","31.000000","","psi"
"2019-03-26 16:44:10.889","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:10.889","TotalBarrels","8","","bbl"
"2019-03-26 16:44:12.788","EngineRPM","250","","RPM"
"2019-03-26 16:44:12.788","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:12.788","HighPressure","625.000000","","psi"
"2019-03-26 16:44:12.788","LowPressure","31.000000","","psi"
"2019-03-26 16:44:12.989","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:12.989","TotalBarrels","8","","bbl"
"2019-03-26 16:44:14.888","EngineRPM","250","","RPM"
"2019-03-26 16:44:14.888","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:14.888","HighPressure","625.000000","","psi"
"2019-03-26 16:44:14.888","LowPressure","31.000000","","psi"
"2019-03-26 16:44:14.989","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:14.989","TotalBarrels","8","","bbl"
"2019-03-26 16:44:16.988","EngineRPM","250","","RPM"
"2019-03-26 16:44:16.988","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:16.988","HighPressure","625.000000","","psi"
"2019-03-26 16:44:16.988","LowPressure","31.000000","","psi"
"2019-03-26 16:44:17.089","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:17.089","TotalBarrels","8","","bbl"
"2019-03-26 16:44:18.988","EngineRPM","250","","RPM"
"2019-03-26 16:44:18.988","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:18.988","HighPressure","625.000000","","psi"
"2019-03-26 16:44:18.988","LowPressure","31.000000","","psi"
"2019-03-26 16:44:19.189","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:19.189","TotalBarrels","8","","bbl"
"2019-03-26 16:44:21.088","EngineRPM","250","","RPM"
"2019-03-26 16:44:21.088","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:21.088","HighPressure","625.000000","","psi"
"2019-03-26 16:44:21.088","LowPressure","31.000000","","psi"
"2019-03-26 16:44:21.289","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:21.289","TotalBarrels","8","","bbl"
"2019-03-26 16:44:23.188","EngineRPM","250","","RPM"
"2019-03-26 16:44:23.188","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:23.188","HighPressure","625.000000","","psi"
"2019-03-26 16:44:23.188","LowPressure","31.000000","","psi"
"2019-03-26 16:44:23.389","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:23.389","TotalBarrels","8","","bbl"
"2019-03-26 16:44:25.288","EngineRPM","250","","RPM"
"2019-03-26 16:44:25.288","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:25.288","HighPressure","625.000000","","psi"
"2019-03-26 16:44:25.288","LowPressure","31.000000","","psi"
"2019-03-26 16:44:25.489","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:25.489","TotalBarrels","8","","bbl"
"2019-03-26 16:44:27.288","EngineRPM","250","","RPM"
"2019-03-26 16:44:27.288","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:27.288","HighPressure","625.000000","","psi"
"2019-03-26 16:44:27.288","LowPressure","31.000000","","psi"
"2019-03-26 16:44:27.589","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:27.589","TotalBarrels","8","","bbl"
"2019-03-26 16:44:29.388","EngineRPM","250","","RPM"
"2019-03-26 16:44:29.388","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:29.388","HighPressure","625.000000","","psi"
"2019-03-26 16:44:29.388","LowPressure","31.000000","","psi"
"2019-03-26 16:44:29.689","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:29.689","TotalBarrels","8","","bbl"
"2019-03-26 16:44:31.388","EngineRPM","250","","RPM"
"2019-03-26 16:44:31.388","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:44:31.388","HighPressure","625.000000","","psi"
"2019-03-26 16:44:31.388","LowPressure","31.000000","","psi"
"2019-03-26 16:44:31.689","FlowRate","2.500000","","BPM"
"2019-03-26 16:44:31.689","TotalBarrels","8","","bbl"
"2019-03-26 16:44:33.488","EngineRPM","250","","RPM"
