time,name,value,enum,units
"2018-11-07 16:34:27.831","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:28.331","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:28.931","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:29.531","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:30.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:30.632","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:31.231","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:31.731","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:32.231","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:32.832","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:33.431","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:33.931","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:34.531","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:35.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:35.633","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:36.231","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:36.732","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:37.331","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:37.831","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:38.332","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:38.931","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:39.432","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:40.031","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:40.631","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:41.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:41.731","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:42.231","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:42.831","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:43.431","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:44.031","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:44.531","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:45.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:45.731","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:46.331","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:46.831","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:47.431","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:48.031","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:48.531","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:49.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:49.631","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:50.231","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:50.831","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:51.331","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:51.931","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:52.431","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:53.031","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:53.531","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:54.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:54.731","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:55.231","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:55.731","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:56.331","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:56.931","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:57.531","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:58.131","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:58.731","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:59.331","FlowRate","3.100000","","BPM"
"2018-11-07 16:34:59.931","FlowRate","3.100000","","BPM"
"2018-11-07 16:35:00.432","FlowRate","3.100000","","BPM"
"2018-11-07 16:35:01.032","FlowRate","3.100000","","BPM"
